SEQ_NO,ISBN_THIRTEEN_NO,TITLE_NM,AUTHR_NM,PUBLISHER_NM,PBLICTE_DE,IMAGE_URL,BOOK_INTRCN_CN,KDC_NM
310008,9788988899885,기업 가치를 창조하는 IR,강창희;조영석 공저,금융경제연수사,2004[실은 20,http://image.aladin.co.kr/product/44/64/cover/8988899881_1.gif,이 책은 기업가치를 대차대조표의 자산가치와 동일시하는 등의 오해와 기업가치에 대한 근본적 고민에서 시작한다 지은이는  전문가들을 통해 진정한 기업가치의 창조는 시대적 요청에 의해 전략적 범위로 확대되고 있다고 말한다 또한 기업가치 창조의 실제적 활용을 위해 활동에 대한 새로운 인식의 ,326.15
310215,9788940682913,합격조리기능사,노수정 저,크라운출판사,2004[실은 20,https://bookthumb-phinf.pstatic.net/cover/012/661/01266153.jpg?type=m1&udate=20100111,조리기능사 필기시험에 대비한 수험서로서 각 단원별로 이론을 쉽게 요약 정리하고 적중 출제예상문제를 수록하여 수험 준비에 완벽을 기하였다 지난년도 시행 출제문제를 수록 출제문제 경향을 철저히 분석하여 단기간내에 시험에 대비할 수 있도록 하였다,594.5077
310326,9788995436813,(애완견)뽐내기,박병권 저,펫미디어,2004[실은 20,http://image.aladin.co.kr/product/43/20/cover/8995436816_1.gif,이 책은 기본적으로 애완동물에 관하여 교육연구하는 애완동물관련학과 학생들의 그루밍 교과서로 쓰일 수 있도록 저술되었다 그루밍의 관련영역과 용어를 해설하고 그루밍 전반 견종별 트리밍 과정의 사진 및 모식도를 통한해설로 그루밍과 트리밍을 공부하고자 하는 학생 및 일반인의 그루밍 기본서로 ,527.41
310347,9788952301666,(정답이 씨익~웃는)기출국어,고시연구원 [편],고시연구원,2004[실은 20,https://bookthumb-phinf.pstatic.net/cover/001/139/00113921.jpg?type=m1&udate=20071214,신개념 급 공무원 합격전략서 급공무원 실제 문제 최다 수록 및 중요 문제별 내용과 경향 설명 및 수험 대책 제시 문제해결특강을 통한 기본 개념 및 원리의 명쾌한 이해로 시험에 대비할 수 있게 했다  ,710.77
310349,9788989711223,(EBS)한자능력검정시험:스크롤 총정리 : 3급·3급II,한자능력검정시험연구원 저,고시연구원,2004[실은 20,http://image.aladin.co.kr/product/29/71/cover/8989711223_1.gif,핵심강의를 통한 기본한자의 활용능력 배양출제경향에 꼭 맞는 회 예상문제 엄선수록매년 반복해서 출제되는 최신기출문제 수록,711.47077
310353,9788952302038,(정답이 씨익~웃는)행정학개론,백형배...[등]편저,고시연구원,2004[실은 20,https://bookthumb-phinf.pstatic.net/cover/012/659/01265939.jpg?type=m1&udate=20090730,신개념 급공무원 합격전략서 중요 포인트마다 내용과 경향 설명 및 수험대책 제시 기본개념 및 원리를 이해하는 실제문제로 학습 종합적인 사고를 측정하는 새로운 출제경향 문제와 핵심적 해설 제시로 시험에 대비할 수 있게 했다,350.01
310362,9788952302083,(정답이 씨익~웃는)형사소송법 개론:경찰·검찰·법원직 대비,박문호...[등]편저,고시연구원,2004[실은 20,https://bookthumb-phinf.pstatic.net/cover/001/308/00130874.jpg?type=m1&udate=20130629,경찰검찰법원직 대비 수험서 형사절차에 대한 개념과 이해를 위해 조문과 이론 및 판례를 정리하고 기출지문 및 중료판례를 지문 정리를 통해 확인 학습이 가능하도록 하였다 또한 최근 년간의 기출문제 및 정선 예상문제를 수록하였다 별책으로 형사소성법 관련 법령을 포함하였다,367.4
310366,9788952301925,(정답이 씨익~웃는)행정법총론,조정환...[등]편저,고시연구원,2004[실은 20,http://image.aladin.co.kr/product/41/7/cover/8952301927_1.gif,신개념 급공무원 합격전략서 행정법총론 이론과 판례법령의 유기적 결합으로 행정법 단권화 완성 최근 중요시되는 이론법령의 획기적 반영으로 신경향 출제에 완벽 대비하였으며 판례와 기출지문을 토대로 지문정리  문제를 정선 수록하여 학습효과를 극대화했다 또한 행정법관련법령 및 용어정리를 ,363.0
310373,9788952302090,(정답이 씨익~웃는)경찰학개론:순경·여경·101경비단,조정환;배재경 공편저,고시연구원,2004[실은 20,http://image.aladin.co.kr/product/43/44/cover/8952302095_1.gif,경찰관리의 채용 승진시험에 대비하기 위한 수험준비서 내지 기본서 개론서 취지에 맞춰 경찰학 영역에 해당하는 분야를 빠짐없이 요약하고 해당 영역분야의 설명 내용을 간결히 요약하였다 또한 해당되는 설명분야가 끝나는 장마다 객관식 문제를 덧붙였으며 최근 대두되고 있는 경찰관련 사례 및 ,350.7
310398,9788952302137,(이것이)형법이다,"박문호,배건식 공편저",고시연구원,2004[실은 20,https://bookthumb-phinf.pstatic.net/cover/012/666/01266694.jpg?type=m1&udate=20091228,법원검찰경찰간부경찰승진 및 고시 대비 형법 수험서 최신판례를 반영하였으며 중요판례는 사실관계와 해설을 달았다 또한 중요한 이론들은 본문 뒤에 이론을 사례를 통해 이해할 수 있도록    란을 두었다 그리고 각종 국가고시의 기출문제와 중요 판례를 지문정리를 통해 본문 각 ,364.0
310405,9788952302045,(공사·공단)영어연구,강철구 저,고시연구원,2004[실은 20,http://image.aladin.co.kr/product/27/29/cover/8952302044_1.jpg,공사공단 영어문제의 출제경향을 분석해 출제유형별로 최근 출제경향에 적합한 예상문제를 중심으로 분석 정해했다 긱출문제 및 난해한 문제의 해설로 자율학습에 어려움 없이 학습할 수 있고 공사공단에서 시행한 기출문제를 출제 유형항목별로 분류 배치하고 공사공단 영어 시험에 적합한 실전문제를 ,740.77
310414,9788989711216,EBS 한자능력검정시험:스크롤 총정리 : 4급·4급II,한자능력검정시험 연구원 저,고시연구원,2004[실은 20,http://image.aladin.co.kr/product/29/71/cover/8989711215_1.gif,한자능력검정 시험안내 한자능력검정시험 접수처응시처  한자의 기초 육서 부수의 위치와 명칭 급 배정한자 급 배정한자  핵심강의 핵심강의  정치사회 핵심강의  경제금융 핵심강의  노동교육 핵심강의  국제사회 핵심강의 ,711.47077
310416,9788952302069,(法務士)형법,김수백;안관주 공편저,고시연구원,2004[실은 20,http://image.aladin.co.kr/product/37/61/cover/8952302060_1.gif,법원행정처 시행 법무사 차시험 대비용 최근 개정형법을 반영하였다 또한 최신 판례를 수록하고 정리 및 문제화하였으며 기출문제 및 출제 가능한 예상문제들을 대폭 수록하였다,364.0
310985,9788952602411,(클릭)한국사:7·9급법원검찰,김유상 편저,서울고시각,2004[실은 20,https://bookthumb-phinf.pstatic.net/cover/001/349/00134968.jpg?type=m1&udate=20130629, 이 책의 특징 이 책은 차 교육과정에 따른 차례를 잡아 정치사경제사사회사문화사를 톡톡 튀게 정리하였고 한국근현대사는 시대순으로 알차게 집필하고 있다 본문에서 학습의 강약을 줄 수 있도록 하는 기출처 표시와 맺고 끊는 학습 편의를 생각하는 편집각 절마다 새 페이지로 시작하여 급 ,911.0077
311055,9788942712427,우등생 해법국어,천재교육 [편],천재교육,2004[실은 20,https://bookthumb-phinf.pstatic.net/cover/001/329/00132931.jpg?type=m1&udate=20130629,단원 핵심 정리 단원 마당 평가 논술형 문제로 구성하고 읽기 교과서 전지문을 수록한 국어 학습서 듣기 평가 가 포함되어 있으며 인터넷 강의중간 학기말 학력평가 예상 문제를 무료로 제공한다,710.0
311214,9788990291165,(20일간의 수학 여행)찍어내기:수학,수앤수 수학교육연구소 著,수&수,2004[실은 20,https://bookthumb-phinf.pstatic.net/cover/001/368/00136877.jpg?type=m1&udate=20130629,차 교육과정의 백미 실생활 수학 문제 수록 나만의 학습을 위한 진단평가 문제 회 수록,410.0
311215,9788990291189,(20일간의 수학 여행)찍어내기:수학I,수앤수 수학교육연구소 著,수&수,2004[실은 20,https://bookthumb-phinf.pstatic.net/cover/001/368/00136887.jpg?type=m1&udate=20130629,최근 년간 출제된 수능기출문제 분석 수록 나만의 학습을 위한 진단평가 문제 회 수록,410.0
311357,9788931422436,워드프로세서:2급 필기 특별대비(3급 포함),강명재;이상미 공저,영진닷컴,2004[실은 20,http://image.aladin.co.kr/product/43/97/cover/8931422431_1.gif,년 최신 출제 경향을 분석하여 구성한 워드프로세서 필기 수험서 꼭 알아야 하는 핵심 이론과 함께 모의고사 회분 최신 기출문제 회분을 제공한다,325.57077
311365,9788931424447,정보처리기능사:필기 특별대비,박이술;영진정보연구소 공저,영진닷컴,2004[실은 20,http://image.aladin.co.kr/product/44/2/cover/8931424442_1.gif,년 최신 출제 경향을 분석하여 구성한 정보처리기능사 필기 수험서 꼭 알아야 하는 핵심 이론과 함께 모의고사 회분 최신 기출문제 회분을 제공한다,4.077
311420,9788971220757,자동차정비 실기교본:섀시편,박영재 편저,중원사,2004[실은 20,http://image.aladin.co.kr/product/44/27/cover/8971220759_1.gif,이 책은 자동차 각 부분의 정비 순서에 따라 여 사진과 도해를 삽입하여 쉽게 이해할 수 있도록 편집하였으며 내용은 각 장치별로 개요 구조 기능 분해 결합 점 수정으로 분류 설명하였다 용어는 교육부 표기법에 준했고 난해한 술어는 괄호 안에 영문 또는 한자를 추가하고 용어 중 특히 이해가 ,556.53
311432,9788971220740,자동차정비 실기교본:기관·전기편,박영재 편저,중원사,2004[실은 20,http://image.aladin.co.kr/product/44/27/cover/8971220740_1.gif,이 책은 자동차 각 부분의 정비 순서에 따라 여 사진과 도해를 삽입하여 쉽게 이해할 수 있도록 편집하였으며 내용은 각 장치별로 개요 구조 기능 분해 결합 점 수정으로 분류 설명하였다 용어는 교육부 표기법에 준했고 난해한 술어는 괄호 안에 영문 또는 한자를 추가하고 용어 중 특히 이해가 ,556.53
311459,9788931423839,정보기기운용기능사=필기 특별대비/Information equipment operation craftsman,영진정보연구소 저,영진닷컴,2004[실은 20,http://image.aladin.co.kr/product/43/93/cover/8931423837_1.gif,년 최신 출제 경향을 분석하여 구성한 정보기기운용기능사 필기 수험서 꼭 알아야 하는 핵심 이론과 함께 모의고사 최신 기출문제 그리고 년부터 년까지의 출제경향을 분석한 화보를 제공한다,566.077
311568,9788986522648,경영과학 원론:기본 개념과 컴퓨터 응용,이규헌;서남수 공저,봉명,2004[실은 20,https://bookthumb-phinf.pstatic.net/cover/014/229/01422931.jpg?type=m1&udate=20150106,육군 철마부대 대대장인 저자가 젊은 병사들을 대상으로 담당한 정신교육자료와 병행하여 운영하였던 온라인 사이트 에서 네티즌들로부터 질문받은 내용을 정리한 책이다 자의 부수별로 글자를 배열하고 자원풀이를 하는 형태로 배열 글자의 생성 과정에 맞추어 정확성을 기했다 자원 풀이 ,325.01
311742,9788918500072,부동산세법,김병두...[등]저,법문사,2004[실은 20,https://bookthumb-phinf.pstatic.net/cover/001/402/00140218.jpg?type=m1&udate=20140424,년 공인중개사 차 시험 대비 부동산세법 수험서 법률이나 당해 시행령의 이해에 필요한 시행규칙과 기본통칙 등을 제시하고 위임규정준용규정 및 차용개념 등은 각주를 통해 쉽게 풀이하였다 각 장의 편제를 통일하여 각각의 조세법을 비교하면서 체계적인 학습이 가능하도록 꾸몄으며 년부터 ,329.432077
